gene	01_SW_sgCTRL_Norm	02_SW_sgCTRL_Norm	17_SW_sgRELB_3_Hyp	18_SW_sgRELB_3_Hyp
CEP250	1707	1414	3154	3238
CEP250-AS1	2	3	7	3
C20orf173	0	0	0	0
ERGIC3	3753	2897	4771	4901
FER1L4	59	46	570	543
SPAG4	99	86	1226	1299
CPNE1	5203	3994	6220	6551
RBM12	3104	2488	2299	2304
NFS1	953	777	951	947
ROMO1	1284	870	2033	2031
RBM39	7989	6496	9246	8932
PHF20	2011	1617	2036	2180
SCAND1	1368	1007	1887	1955
CNBD2	8	5	11	15
NORAD	12507	10392	16896	15757
EPB41L1	3588	2706	4673	4782
EPB41L1-AS1	2	0	2	2
LOC105372602	0	0	0	0
AAR2	1342	1000	1678	1735
DLGAP4	1715	1354	3335	3484
DLGAP4-AS1	1	1	7	4
MYL9	263	210	1267	1395
TGIF2	941	757	1245	1297
TGIF2-RAB5IF	0	0	0	0
LOC107985397	2	0	0	3
RAB5IF	306	194	332	303
SLA2	3	1	0	0
NDRG3	1992	1528	2057	1983
DSN1	1451	1145	1987	1910
SOGA1	2998	2628	3461	3972
TLDC2	53	49	97	93
SAMHD1	2040	1577	1649	1710
RBL1	1626	1339	1226	1162
MROH8	61	42	128	154
RPN2	11257	9247	12907	13491
GHRH	0	0	0	0
MANBAL	1463	1221	1485	1539
LOC105372606	1	1	5	5
SRC	856	628	1286	1262
BLCAP	1862	1500	2795	2845
NNAT	30	23	76	67
LINC01746	0	0	0	0
LINC00489	0	0	0	0
LOC100287792	0	0	0	1
LOC105372609	0	0	0	0
CTNNBL1	2302	1832	2266	2377
VSTM2L	0	0	8	2
TTI1	2234	1735	1750	1725
RPRD1B	2315	1802	2507	2399
TGM2	36518	27911	75867	80452
LOC107987281	2	1	5	6
KIAA1755	122	93	542	557
LOC149684	2	2	14	6
BPI	1	0	20	17
LBP	1	0	0	0
SNHG17	678	527	669	625
SNORA71B	12	7	9	19
SNORA71A	7	7	4	5
SNORA71C	14	12	11	5
SNORA71D	1	0	0	2
SNHG11	237	177	355	362
SNORA71E	3	1	8	4
SNORA60	9	6	11	8
RALGAPB	3015	2458	3707	3558
MIR548O2	0	1	0	0
ADIG	0	0	0	0
ARHGAP40	66	45	34	36
SLC32A1	0	0	0	0
ACTR5	939	735	654	673
PPP1R16B	2	0	3	9
FAM83D	4920	3800	6538	6704
DHX35	1034	873	1064	1116
LOC107985448	0	0	1	0
LINC01734	0	0	0	0
LOC102724950	0	0	0	0
LOC105372614	0	0	0	0
LOC105372613	0	0	2	2
LINC01370	0	0	0	0
LOC105372616	0	0	0	0
LOC105372617	0	2	1	0
LOC105372618	0	0	3	1
LOC107985446	0	0	2	0
LOC102724968	3	1	7	4
LOC107985435	0	1	1	2
LOC105372620	0	0	0	0
MAFB	193	118	665	691
LOC101927098	1	1	0	0
SNORD154	0	0	0	0
LOC100128988	0	0	2	1
LOC105372621	7	7	2	0
TOP1	6163	5083	5080	5171
PLCG1-AS1	7	11	46	48
PLCG1	3708	2900	6429	6755
MIR6871	1	1	1	2
ZHX3	1282	1043	2268	2271
LPIN3	625	479	1316	1422
EMILIN3	0	0	5	2
CHD6	1931	1528	3380	3341
LOC101927182	0	1	0	0
LOC105372622	0	0	0	0
PTPRT	0	1	0	0
LOC105372624	0	0	0	0
LOC101927159	0	0	0	0
LOC105372623	0	0	0	0
PTPRT-AS1	0	0	0	0
SRSF6	7055	5589	7773	7333
L3MBTL1	214	154	403	401
SGK2	1	1	8	4
IFT52	935	699	1307	1257
MYBL2	3168	2448	3409	3579
GTSF1L	0	0	0	0
LOC101927200	0	0	0	0
LOC107985441	0	0	0	0
LOC105372625	0	0	0	1
LINC01728	0	0	0	0
TOX2	434	316	514	563
JPH2	199	126	794	802
OSER1	2531	1928	3428	3375
OSER1-DT	117	82	280	282
GDAP1L1	3	1	0	2
FITM2	604	413	739	716
R3HDML	0	0	1	1
R3HDML-AS1	6	2	15	23
HNF4A	125	97	292	325
HNF4A-AS1	0	0	1	0
MIR3646	0	0	0	0
LINC01430	0	0	1	0
LINC01620	0	0	0	0
TTPAL	1487	1169	1697	1667
SERINC3	5450	4312	8153	8136
PKIG	1934	1495	1341	1416
ADA	167	146	118	131
LINC01260	0	1	0	4
KCNK15-AS1	6	4	12	6
CCN5	0	0	3	6
KCNK15	11	7	12	11
RIMS4	52	56	104	115
YWHAB	16847	13615	17858	17967
PABPC1L	1525	1183	2249	2204
TOMM34	8123	6280	3651	3771
STK4-DT	16	17	15	25
STK4	5640	4638	3871	3805
KCNS1	11	4	4	7
WFDC5	0	0	0	0
WFDC12	0	1	0	0
LOC101929863	0	0	1	0
PI3	0	0	3	2
LINC02597	0	0	0	0
SEMG1	0	0	0	0
SEMG2	0	0	0	0
LOC105372630	0	0	0	0
SLPI	55	38	103	94
MATN4	4	3	3	7
RBPJL	5	2	3	2
SDC4	3087	2375	5682	5806
SYS1	1144	869	999	1048
SYS1-DBNDD2	0	0	0	0
TP53TG5	15	9	12	13
LOC107985404	27	17	33	41
DBNDD2	37	18	46	35
LOC107985405	7	8	6	10
PIGT	3438	2637	4804	5281
MIR6812	1	2	0	0
LOC105372631	6	3	7	9
WFDC2	239	205	393	455
LOC107987282	0	0	1	1
SPINT3	0	0	0	0
WFDC6	0	0	0	0
EPPIN-WFDC6	0	1	2	0
EPPIN	0	0	2	2
WFDC8	0	0	1	1
WFDC9	0	3	14	5
WFDC10A	0	0	1	0
WFDC11	2	0	0	0
WFDC10B	19	10	17	19
WFDC13	1	2	1	5
MIR3617	0	0	0	0
WFDC3	144	100	208	288
SPINT4	0	0	0	0
DNTTIP1	3835	3010	3908	4026
UBE2C	4537	3476	2942	3147
TNNC2	0	3	4	3
SNX21	217	187	430	478
ACOT8	823	571	822	872
ZSWIM3	263	208	354	348
ZSWIM1	475	332	594	597
SPATA25	69	46	71	86
NEURL2	0	0	0	0
CTSA	5086	3793	5429	5855
PLTP	1048	791	1283	1517
LOC107985388	45	38	123	114
PCIF1	1150	858	1708	1893
ZNF335	1087	802	1206	1203
MMP9	4	2	5	4
SLC12A5-AS1	0	0	1	1
SLC12A5	1	0	10	7
LOC105372632	0	0	3	1
NCOA5	2130	1603	2012	2085
CD40	9	8	12	16
CDH22	3	7	18	15
SLC35C2	1837	1461	2017	1984
ELMO2	1259	932	1912	1993
LOC105372633	0	0	0	0
ZNF663P	0	0	0	0
ZNF334	0	0	0	0
MKRN7P	0	0	0	0
OCSTAMP	0	0	0	0
SLC13A3	297	246	266	283
TP53RK	875	688	952	901
SLC2A10	316	262	613	664
EYA2	55	34	28	31
LOC101927355	2	0	0	0
MIR3616	0	0	0	0
ZMYND8	6171	4697	7736	7840
LOC100131496	7	2	3	3
LOC101927377	2	3	8	8
LINC01754	3	0	5	3
NCOA3	1198	1065	2530	2473
SULF2	1902	1518	1068	1126
LOC107985401	8	8	5	5
LOC105372636	4	2	5	5
LOC105376980	7	4	11	10
LOC105372637	0	0	1	1
LOC112268266	72	59	54	66
LINC01522	2	2	8	2
LINC01523	0	1	1	1
LOC107985436	15	14	18	17
LOC107985437	0	0	0	0
LOC105372639	61	47	95	103
LOC105372640	0	0	3	1
LOC105372641	0	0	0	1
LINC00494	13	6	24	25
LOC105372643	0	0	0	0
LOC105372645	0	0	1	4
LOC107985439	0	0	1	0
LOC105372647	0	1	0	1
LOC105372646	1	1	2	1
PREX1	304	231	316	362
LOC105372648	0	0	0	0
ARFGEF2	3641	2863	4669	4612
CSE1L-DT	0	0	3	2
CSE1L	14295	11473	9625	9046
STAU1	6714	5365	7706	7850
DDX27	4144	3223	3793	3831
ZNFX1	1857	1502	2570	2774
ZFAS1	2255	1752	2096	1971
SNORD12C	1	4	4	1
SNORD12B	7	7	10	11
SNORD12	16	7	15	17
LOC105372649	0	0	0	0
KCNB1	5	1	9	13
PTGIS	0	0	0	0
LOC101927486	0	0	0	0
LOC105372651	4	2	1	0
B4GALT5	3719	2953	4053	4179
LOC105372652	26	19	52	44
SLC9A8	594	438	866	854
MIR12122	0	1	3	3
SPATA2	628	474	499	557
LOC105372653	2	0	3	3
RNF114	2417	1892	2274	2204
SNAI1	194	140	92	74
LOC105372654	0	0	0	0
TRERNA1	0	0	0	1
LOC105372655	0	0	0	0
PEDS1-UBE2V1	0	0	0	0
UBE2V1	53	47	74	90
PEDS1	491	395	817	847
LINC01275	8	7	44	44
LINC01273	34	41	73	61
CEBPB-AS1	38	30	90	88
CEBPB	297	200	210	221
LOC107985386	0	0	0	0
LOC105372656	0	0	0	0
PELATON	12	5	2	7
LINC01270	5	3	7	6
LINC01271	6	3	5	5
LOC105372657	1	0	0	0
PTPN1	5377	4134	8414	8438
MIR645	1	0	0	0
RIPOR3	2	2	18	11
MIR1302-5	0	0	0	0
RIPOR3-AS1	1	0	7	2
LOC105372659	0	0	1	2
PARD6B	709	579	1073	1032
BCAS4	449	293	602	657
ADNP	6162	5154	6648	6711
ADNP-AS1	41	40	76	45
DPM1	2680	2166	2388	2207
MOCS3	726	527	692	637
KCNG1	322	232	114	117
LOC105372662	0	0	0	0
LOC105372661	0	0	0	0
LOC105372663	33	20	12	22
NFATC2	487	378	456	464
MIR3194	1	0	0	1
ATP9A	4096	3167	1506	1598
SALL4	48	41	10	14
LINC01429	0	0	0	0
LOC105372664	1	2	0	2
ZFP64	920	655	867	897
LOC105372666	1	1	7	9
LOC107985427	0	0	0	0
LOC105372667	0	0	0	0
LOC105372665	0	0	0	0
LINC01524	0	0	1	1
LOC105376985	0	0	0	0
LOC105372668	0	0	0	0
TSHZ2	30	33	161	161
LOC105372669	6	5	17	22
LOC105372671	0	0	1	2
LOC101927770	7	4	26	26
ZNF217	1736	1432	3813	3895
LOC105372672	0	0	0	0
SUMO1P1	0	0	1	0
BCAS1	1	0	1	6
MIR4756	0	0	0	0
CYP24A1	65	54	377	387
LOC105372675	0	0	3	3
PFDN4	1010	920	1097	1041
LOC107985385	0	0	0	0
DOK5	1	0	2	2
LINC01441	0	0	0	0
LINC01440	0	0	0	0
LOC105372676	0	0	0	0
LOC107984001	0	0	0	0
LOC105372677	0	0	0	0
LOC105372678	0	0	0	0
CBLN4	0	0	0	0
LOC105372679	0	0	0	0
LOC105376989	0	0	0	0
LOC105372680	0	0	0	0
MC3R	0	0	1	1
FAM210B	2475	1994	3618	3515
AURKA	5316	4313	4847	4725
CSTF1	1831	1455	2070	2090
CASS4	257	215	362	360
RTF2	3670	2888	4094	4202
GCNT7	2	5	8	4
LOC105372681	0	0	0	0
FAM209A	1	0	0	4
FAM209B	0	1	0	3
LINC01716	2	2	1	4
TFAP2C	327	258	824	740
LOC105372683	0	0	0	0
LOC105372685	3	1	0	1
LOC105372686	0	0	2	3
BMP7	5049	3909	7604	8117
BMP7-AS1	0	0	0	0
LOC112268270	2	2	4	6
LOC105372687	1	0	7	7
MIR4325	0	0	0	0
SPO11	0	0	0	1
RAE1	3296	2542	2588	2529
RBM38-AS1	3	1	6	1
RBM38	2504	1926	1818	1877
LOC105372688	2	0	1	0
CTCFL	1	0	0	1
PCK1	1	1	3	6
LOC105372690	0	0	0	0
ZBP1	0	0	2	3
PMEPA1	948	762	1132	1177
NKILA	17	14	46	41
LOC105372692	4	4	15	12
LOC105372693	0	1	1	1
LINC01742	0	1	0	0
LOC107987284	316	221	626	533
LOC107985434	2	4	6	11
C20orf85	0	0	1	0
LOC105372694	8	2	14	12
ANKRD60	1	0	2	1
PPP4R1L	138	107	263	239
RAB22A	1769	1533	2418	2324
VAPB	3009	2440	3809	3752
APCDD1L	0	0	1	0
APCDD1L-DT	1	0	1	2
LINC01711	7	10	15	19
LOC107985410	4	3	2	3
STX16-NPEPL1	2	3	10	8
STX16	1893	1530	2782	2624
NPEPL1	59	46	69	78
LOC105372695	0	0	0	0
MIR296	0	0	0	0
MIR298	0	0	0	0
GNAS-AS1	0	0	0	2
GNAS	28365	21636	40395	43298
LOC101927932	0	5	9	8
LOC107985382	0	0	0	0
NELFCD	5596	4315	5893	6044
CTSZ	13236	9883	17518	18526
TUBB1	27	12	55	69
ATP5F1E	1026	865	1266	1048
SLMO2-ATP5E	0	0	2	0
PRELID3B	3508	2878	2675	2435
ZNF831	41	21	38	22
LOC107985389	2	1	5	5
EDN3	136	90	739	707
LOC105372696	0	0	0	0
PHACTR3	4	8	18	21
LOC107985430	0	0	0	0
PHACTR3-AS1	0	0	0	0
SYCP2	29	21	37	41
FAM217B	1517	1150	1749	1673
PPP1R3D	291	227	411	407
CDH26	10	2	20	13
LINC02910	1	0	0	0
LOC107985429	0	0	0	0
LOC729296	1	0	0	0
MIR646HG	4	4	4	6
LOC105372698	2	1	2	2
MIR646	0	0	0	0
LOC105372697	0	1	0	0
LOC101928048	0	0	0	0
MIR4533	0	0	0	0
MIR548AG2	0	0	0	0
LOC105372699	0	0	0	0
LOC105372700	0	0	0	0
LINC01718	0	0	0	0
LOC105372701	0	0	0	0
CDH4	0	0	0	0
LOC105372703	5	2	12	6
LOC100128310	0	0	0	0
MIR1257	0	0	0	0
TAF4	189	141	206	251
LOC105372704	0	0	0	0
MIR3195	0	0	0	0
LOC105372705	14	9	49	48
LOC105372706	0	1	8	1
LSM14B	2012	1569	2976	3004
PSMA7	9742	7566	10936	11235
SS18L1	725	574	1411	1380
MTG2	1174	965	1207	1285
HRH3	1	1	4	2
LOC105369209	0	1	5	4
OSBPL2	1603	1181	2113	2044
ADRM1	5826	4445	6358	6702
LOC105372707	107	85	369	355
LAMA5	8487	6512	20104	21404
MIR4758	0	0	0	0
LAMA5-AS1	12	8	19	19
LOC105372708	10	12	31	51
RPS21	11935	9512	9510	9834
CABLES2	347	285	670	729
LOC105372709	94	67	143	146
RBBP8NL	0	1	6	7
LOC105372710	4	1	7	6
GATA5	0	0	0	0
LOC105372711	0	0	0	0
LOC105376995	0	0	1	4
CRMA	3	1	11	16
MIR1-1HG	0	0	1	0
MIR1-1	0	0	0	0
MIR133A2	0	0	0	0
WI2-87327B8.2	1	0	1	1
SLCO4A1	4661	3556	2704	3011
LOC101928465	93	71	128	113
SLCO4A1-AS1	28	21	66	46
NTSR1	1606	1254	381	412
LOC107987285	16	16	12	9
LOC107985428	245	222	141	153
LINC00659	0	0	0	0
LOC105372716	19	11	46	46
MRGBP	2422	1909	2856	2998
OGFR-AS1	2	4	12	12
OGFR	1771	1290	1949	2132
COL9A3	6318	4754	9383	10537
TCFL5	1272	951	1200	1198
LOC105372717	229	212	446	434
DIDO1	4334	3509	5505	5645
SNORA117	0	1	2	1
GID8	2837	2218	3660	3407
SLC17A9	3228	2491	1977	2090
BHLHE23	0	1	7	3
LINC01749	0	0	0	2
LOC105372718	3	2	10	16
LINC00029	0	0	0	3
LINC01056	0	0	0	0
HAR1B	3	3	8	9
HAR1A	12	7	22	32
LOC105372719	0	0	1	1
LOC105376996	0	0	0	0
MIR124-3	0	0	0	0
YTHDF1	3491	2808	3186	3280
BIRC7	0	1	7	4
MIR3196	0	0	0	0
NKAIN4	0	0	1	0
FLJ16779	0	0	1	0
ARFGAP1	3259	2297	4284	4430
MIR4326	1	1	3	2
COL20A1	1	2	4	5
CHRNA4	1	0	2	1
LOC100130587	0	0	0	0
KCNQ2	2	3	8	7
LOC105372724	0	0	0	0
LOC105372721	0	0	0	0
KCNQ2-AS1	0	0	0	0
EEF1A2	2388	1818	4749	5227
LOC105372725	2	0	20	15
LOC102723814	53	39	160	147
PPDPF	3236	2436	4278	4574
PTK6	499	407	906	947
SRMS	24	22	47	65
FNDC11	94	78	139	184
HELZ2	854	682	1463	1600
GMEB2	1264	925	1201	1291
MHENCR	185	164	296	258
STMN3	2270	1803	1626	1734
LOC105372726	15	10	14	13
RTEL1-TNFRSF6B	0	0	0	0
RTEL1	87	74	91	84
TNFRSF6B	13	1	10	5
ARFRP1	999	763	976	972
ZGPAT	1010	760	911	921
LIME1	677	512	843	912
SLC2A4RG	2097	1558	1962	1938
ZBTB46	709	520	1047	1066
ZBTB46-AS1	0	1	1	0
C20orf181	2	1	5	3
LOC112268269	578	436	790	767
ABHD16B	0	0	0	0
TPD52L2	7985	6075	5802	6000
DNAJC5	3785	2731	4355	4561
MIR941-1	0	0	0	0
MIR941-2	0	0	0	0
MIR941-3	0	0	0	0
MIR941-4	0	0	0	0
MIR941-5	0	0	0	0
UCKL1	1373	1031	1511	1674
MIR1914	0	0	0	0
MIR647	9	7	13	17
UCKL1-AS1	61	47	84	81
ZNF512B	323	227	1096	1144
SAMD10	531	387	433	531
PRPF6	4932	3771	5005	5254
C20orf204	11	15	29	32
TCEA2	550	422	849	911
SOX18	48	39	31	43
RGS19	839	644	735	697
MIR6813	1	2	0	1
OPRL1	1	1	7	6
LKAAEAR1	11	5	9	19
NPBWR2	0	0	0	0
LOC105372727	0	0	0	0
MYT1	0	0	0	0
PCMTD2	792	655	825	779
LINC00266-1	1	1	1	1
LOC105379484	0	0	0	0
LOC102723996	11	6	8	5
LOC105372832	0	0	0	1
CH507-9B2.8	0	0	0	0
LOC107987292	0	0	0	0
LOC101928576	0	0	0	0
LOC102724023	127	90	207	177
LOC102724159	213	167	176	173
LOC102724200	17	26	28	22
LINC01670	0	0	0	0
LOC105379488	0	0	0	0
LOC105379489	0	0	0	0
LOC102724219	0	0	0	0
LOC107987309	0	0	0	0
LOC102724334	0	0	0	0
LOC105379490	0	0	0	0
LOC102724354	0	0	1	2
LOC102724370	0	0	0	0
CH507-42P11.6	0	2	6	10
LOC107985506	0	0	0	0
LOC102724428	20	31	85	85
LOC107987288	0	0	0	0
LOC107987289	0	0	0	0
LOC102724701	29	16	22	26
LOC105379491	0	0	0	0
CH507-145C22.1	1	0	0	0
LOC102724560	0	1	2	2
LOC102724594	2	2	1	3
LOC102724652	0	0	0	0
LOC106780825	0	0	0	0
LOC105379497	0	0	0	0
LOC110091777	0	0	0	0
MIR8069-1	0	0	0	0
LOC105379499	0	0	0	0
LOC105379501	0	0	0	0
LOC102724843	0	0	0	0
LOC105379502	0	0	0	0
LOC105379503	0	0	0	0
LOC102724951	0	0	0	0
LOC107987308	0	0	0	0
LOC102723360	2	0	1	1
LOC102723553	5	8	9	14
LOC102723451	0	0	0	0
LOC105379504	0	0	0	0
LOC107983987	0	0	0	0
LOC102723475	0	0	0	0
LOC105379505	0	0	0	0
MIR6724-1	0	0	0	0
RNA45SN2	0	0	0	0
MIR3648-1	0	0	0	0
RNA18SN2	0	0	0	0
RNA5-8SN2	0	0	0	0
RNA28SN2	0	0	0	0
LOC105379506	0	0	0	0
LOC107987293	0	0	0	0
CDC27P9	0	0	0	0
MIR6724-2	0	0	0	0
MIR6724-3	0	0	0	0
RNA45SN3	0	0	0	0
RNA18SN3	0	0	0	0
RNA5-8SN3	0	0	0	0
RNA28SN3	0	0	0	0
LOC105379508	0	0	0	0
CDC27P10	0	0	0	0
MIR6724-4	0	0	0	0
RNA45SN1	0	0	1	0
MIR10396B	0	0	0	0
RNA18SN1	0	0	0	0
RNA5-8SN1	0	0	0	0
RNA28SN1	0	0	0	0
LOC105379507	0	0	0	0
LOC107987294	0	0	0	0
CDC27P11	0	0	0	0
LINC01666	0	1	0	0
MIR3648-2	0	0	0	0
MIR10396A	0	0	0	0
LOC101927615	0	0	0	0
TEKT4P2	23	17	51	40
LOC101930100	1	1	5	2
LOC101927345	2	2	16	5
NCOR1P4	10	9	26	20
LOC105379514	0	0	0	0
LOC105379513	0	0	0	0
LINC01667	0	0	0	0
LOC105372734	0	0	0	0
LOC105372733	2	3	12	7
BAGE2	32	35	41	47
TPTE	0	0	0	1
ANKRD30BP2	0	0	0	0
MIR3156-3	0	0	0	0
LINC01674	0	0	0	0
POTED	0	0	0	0
MIR3118-1	0	0	0	0
LOC107985482	0	0	0	0
LOC112268283	0	0	0	0
MIR8069	0	0	0	0
CYP4F29P	0	0	0	0
LOC110091776	0	1	3	3
ANKRD20A11P	0	0	1	0
LOC105377134	2	0	14	8
LIPI	0	0	4	1
RBM11	0	4	7	5
ABCC13	0	0	0	0
HSPA13	1698	1386	3495	3279
LOC105369304	1	2	2	7
SAMSN1	0	0	0	1
SAMSN1-AS1	0	0	0	0
LOC105372738	0	0	0	0
LINC02246	23	13	59	43
NRIP1	177	141	423	359
LOC107985483	0	0	0	0
LOC105369292	0	0	0	0
LOC101927745	0	0	0	0
LOC105369302	0	0	0	0
USP25	791	623	1154	1085
LOC112268281	0	0	0	0
MIR99AHG	4	0	18	19
SNORD74B	0	0	0	0
LOC112268282	0	0	0	0
MIR99A	0	0	0	0
MIRLET7C	0	0	0	0
MIR125B2	0	0	0	0
LOC105372740	0	0	0	0
LOC107985511	0	0	0	0
LINC01549	0	0	0	0
TRG-GCC1-5	1	0	0	0
CXADR	1559	1335	2494	2193
BTG3	171	160	225	215
BTG3-AS1	0	0	0	0
LOC105372741	0	0	0	0
C21orf91-OT1	0	0	0	0
C21orf91	692	562	1074	1011
CHODL	0	5	2	1
CHODL-AS1	0	0	0	0
LOC107987296	0	0	0	0
TMPRSS15	0	0	0	0
MIR548XHG	0	0	1	1
MIR548X	0	0	0	0
LOC107985490	0	0	0	0
LINC01683	0	0	0	0
LOC105372745	0	0	0	0
LINC02573	0	0	0	0
LINC00320	0	0	0	0
NCAM2	0	0	0	0
LINC00317	0	0	0	0
LINC01425	0	0	0	0
LINC01687	0	0	0	0
LINC00308	0	0	0	0
LOC107985508	0	0	0	0
LOC107985509	0	0	0	0
LOC107985494	0	0	0	0
MIR6130	0	0	0	0
D21S2088E	0	0	0	0
LOC105372747	0	1	0	0
LOC107985512	0	0	0	0
LOC105372749	0	0	0	0
LOC105372750	0	0	0	0
LINC01689	0	0	0	0
LINC01684	0	0	1	0
LINC01692	0	0	0	0
LOC107985516	0	0	0	0
LINC00158	0	0	0	0
LOC105372753	0	0	0	0
MIR155HG	0	0	0	1
MIR155	0	0	0	0
LINC00515	0	0	1	0
MRPL39	910	697	855	745
JAM2	13	11	7	4
ATP5PF	2209	1703	2407	2221
GABPA	1118	848	1121	1065
LOC105372757	0	0	0	0
LOC105372756	0	0	0	0
APP	12097	9516	18788	20259
CYYR1-AS1	0	0	1	2
LOC105372758	0	0	0	0
LOC107985474	0	0	1	1
CYYR1	0	0	0	0
ADAMTS1	0	0	0	0
LOC105372760	0	0	0	0
ADAMTS5	0	0	0	0
MIR4759	0	0	0	0
LOC112268279	0	0	0	0
LOC112268280	0	0	0	0
LOC102724355	0	0	0	0
LOC105372759	0	0	0	0
LOC105372762	0	0	0	0
LINC01673	0	0	0	0
LINC00113	1	1	2	1
LINC00314	0	0	0	0
LINC01697	0	0	1	1
LINC01695	0	0	0	0
LOC102724420	0	0	0	0
LOC105372764	0	0	1	0
N6AMT1	328	257	457	406
LINC00161	0	0	0	0
LTN1	1571	1293	2366	2183
LOC105372766	0	1	4	1
RWDD2B	764	567	1099	1058
USP16	2510	2095	2757	2531
CCT8	10680	8459	9339	8786
MAP3K7CL	74	58	130	145
LOC105372767	1	0	25	17
LINC00189	0	0	4	6
LOC105369299	5	1	35	36
BACH1	1221	1050	5076	5034
BACH1-IT2	2	0	2	1
LOC107985486	2	2	8	11
LOC105372770	0	0	0	0
BACH1-IT3	0	0	0	0
GRIK1	1	0	8	3
LOC105372768	1	1	0	2
GRIK1-AS2	1	0	1	1
GRIK1-AS1	0	0	1	0
CLDN17	0	0	0	0
LINC00307	0	0	0	0
CLDN8	0	0	0	0
KRTAP24-1	0	0	0	0
KRTAP25-1	0	0	0	0
KRTAP26-1	0	0	0	0
KRTAP27-1	0	0	0	0
KRTAP23-1	0	0	0	0
KRTAP13-2	0	0	0	0
MIR4327	0	0	0	0
LOC105372772	0	0	0	0
KRTAP13-1	0	0	0	0
KRTAP13-3	0	0	0	0
KRTAP13-4	0	0	0	0
KRTAP15-1	0	0	0	0
KRTAP19-1	0	0	0	0
KRTAP19-2	0	0	0	0
KRTAP19-3	0	0	0	0
KRTAP19-4	0	0	0	0
KRTAP19-5	0	0	0	0
KRTAP19-6	0	0	0	0
KRTAP19-7	0	0	0	0
KRTAP22-2	0	0	0	0
KRTAP6-3	0	0	0	0
KRTAP6-2	0	0	0	0
KRTAP22-1	0	0	0	0
KRTAP6-1	0	0	0	0
KRTAP20-1	0	0	0	0
KRTAP20-4	0	0	0	0
KRTAP20-2	0	0	0	0
KRTAP20-3	0	0	0	0
LOC105372773	1	0	0	1
KRTAP21-3	0	0	0	0
KRTAP21-2	0	0	0	0
KRTAP21-1	0	0	0	0
KRTAP8-1	0	0	0	0
KRTAP7-1	0	0	0	0
KRTAP11-1	0	0	0	0
LOC105372776	0	0	0	0
LOC105372775	0	0	0	0
LOC105372774	0	0	0	0
KRTAP19-8	0	0	1	0
TIAM1	2093	1689	2261	2360
LOC107985487	0	0	0	0
LOC105372777	0	0	0	0
TIAM1-AS1	22	22	30	35
LOC107985488	0	0	1	0
SOD1-DT	2	4	12	6
SOD1	5939	4456	9018	9262
SCAF4	2467	1836	2851	3074
HUNK	4659	3677	5040	5306
LINC00159	0	0	0	0
MIS18A	725	610	794	809
MIS18A-AS1	14	5	20	18
MRAP	0	0	2	0
MRAP-AS1	2	0	0	2
URB1	3578	2809	4794	5018
SNORA80A	1	0	1	0
URB1-AS1	112	68	187	220
EVA1C	767	584	1025	1059
CFAP298-TCP10L	54	59	172	176
TCP10L	0	0	0	0
LOC105372782	0	1	2	0
CFAP298	367	295	368	345
SYNJ1	614	466	1134	1118
PAXBP1-AS1	8	6	24	20
PAXBP1	1217	1041	1407	1357
C21orf62-AS1	0	0	1	0
C21orf62	0	0	0	0
LOC105377136	0	0	1	1
LINC01690	0	0	0	0
OLIG2	0	0	0	0
LOC107985505	0	0	0	0
LOC105372785	0	0	0	0
LINC00945	0	0	0	0
OLIG1	16	8	74	73
LOC101928107	0	0	0	0
LINC01548	0	0	0	0
LOC105372787	0	0	0	0
IFNAR2	783	625	981	919
IL10RB-DT	4	4	20	18
IL10RB	427	401	1096	1098
IFNAR1	2282	1889	3782	3585
IFNGR2	22	31	39	46
TMEM50B	0	0	0	0
DNAJC28	0	0	0	0
GART	5021	3871	3012	2990
SON	8531	7044	11570	11618
MIR6501	0	0	0	0
LOC107985481	27	29	64	43
DONSON	1496	1132	1644	1581
CRYZL1	230	229	346	311
ITSN1	992	868	2252	2324
ATP5PO	3779	3044	5685	5777
LINC00649	318	253	901	888
LOC101928126	203	189	520	534
LOC105372790	7	5	55	61
LOC105372789	10	3	169	165
MRPS6	8857	7178	23575	23185
SLC5A3	20242	17326	58718	54911
LINC00310	24	14	56	52
LOC105372791	0	1	7	4
KCNE2	0	1	4	3
SMIM11	0	0	0	0
C21orf140	0	0	0	0
LOC105372793	0	0	0	0
SMIM34	0	0	0	0
KCNE1	1	0	1	0
RCAN1	644	506	1691	1773
CLIC6	2	2	8	9
LINC00160	0	0	0	0
LOC107985515	0	0	1	0
LINC01426	1	2	6	11
RUNX1	2535	2114	5303	5282
LOC102724584	1	1	6	2
LOC112267915	0	0	1	2
RUNX1-IT1	1	1	7	2
LOC100506403	0	0	0	0
MIR802	0	0	0	0
PPP1R2P2	5	3	2	2
LOC101928269	0	0	0	0
LINC01436	0	0	1	0
SETD4	412	316	582	626
SETD4-AS1	0	0	1	1
CBR1-AS1	4	5	3	7
CBR1	991	744	1280	1366
LOC105369306	0	1	1	0
CBR3-AS1	26	31	51	50
CBR3	278	189	293	287
DOP1B	941	761	826	867
MORC3	1125	907	1676	1599
CHAF1B	1188	951	1611	1586
CLDN14-AS1	3	5	29	44
CLDN14	0	0	2	1
LOC105369308	1	0	0	3
SIM2	68	45	133	159
LOC107985492	15	4	42	23
HLCS	1156	927	1673	1774
LOC105369305	0	0	0	0
RIPPLY3	8	8	41	36
PIGP	283	220	401	394
TTC3	4559	3913	9795	9571
TTC3-AS1	1	0	0	0
